tsim,phi1_ex_1,phi2_ex_1,phi1_ex_2,phi2_ex_2,phi1_ex_3,phi2_ex_3,phi1_ex_4,phi2_ex_4,phi1_ex_5,phi2_ex_5
0,71.4736230875467,133.341522623618,104.205530741241,130.132752363285,127.718184668377,127.718184668377,141.308686956095,126.045720771463,146.595533836209,125.07564553038
40.4040404040404,75.945923517097,138.85851515536,109.377796981532,135.434694148485,132.838167644696,132.838167644696,145.977568282466,131.01369438114,150.6769389014,129.918910161995
80.8080808080808,80.6717580404351,144.576131351804,114.77498777812,140.925756031422,138.136946648116,138.136946648116,150.78270076444,136.151177202694,154.860812215383,134.923305647727
121.212121212121,85.662152106335,150.499360734283,120.4036972947,146.610475452323,143.618629206935,143.618629206935,155.72686226163,141.461866343417,159.149100350102,140.092135236498
161.616161616162,90.9281861744438,156.633123491266,126.270392497415,152.493316243209,149.287243448151,149.287243448151,160.812806996777,146.949372545072,163.543751587936,145.428607945906
202.020202020202,96.4809346596124,162.982250931274,132.381374463825,158.578650465386,155.146721103692,155.146721103692,166.043259064588,152.617204191951,168.046713607282,150.935823447519
242.424242424242,102.331397088866,169.551464716792,138.74273694423,164.870739176272,161.200879582827,161.200879582827,171.420905594638,158.468750513043,172.659931038048,156.616756267579
282.828282828283,108.490421209442,176.345354894963,145.360322246381,171.373712145559,167.45340313555,167.45340313555,176.948389569025,164.507264008153,177.38534288491,162.474239338252
323.232323232323,114.968617884691,183.368356753,152.239674557786,178.091546551835,173.907823141927,173.907823141927,182.628302297428,170.735842137368,182.224879816441,168.510946943419
363.636363636364,121.77626773586,190.624726539568,159.385990867605,185.028044702874,180.567497573518,180.567497573518,188.463175554265,177.15740832341,187.180461318588,174.729377112351
404.040404040404,128.923219633043,198.118516107933,166.804069702067,192.186810835885,187.435589684798,187.435589684798,194.455473384962,183.774692327246,192.253992711328,181.131833524538
444.444444444444,136.418781308794,205.85354655225,174.498257943259,199.571227067989,194.515046005151,194.515046005151,200.607583590757,190.590210068721,197.447362027747,187.720406999164
484.848484848485,144.271602562886,213.833380925065,182.472396060201,207.184428582046,201.808573715229,201.808573715229,206.921808904088,197.606242975818,202.762436755218,194.49695665332
525.252525252525,152.489551745611,222.061296141652,190.729762142769,215.029278148475,209.31861750528,209.31861750528,213.400357869374,204.824816958384,208.201060438866,201.46309082387
565.656565656566,161.07958644764,230.540254195201,199.273015192142,223.108340099897,217.047336027272,217.047336027272,220.045335446952,212.247681114658,213.765049147985,208.620147858687
606.060606060606,170.047619583459,239.272872825854,208.104138184938,231.423853891992,224.99657806708,224.99657806708,226.858733360968,219.876286291467,219.456187806681,215.969176893871
646.464646464646,179.398382327695,248.261395805964,217.224381490581,239.977707400809,233.167858577605,233.167858577605,233.84242021525,227.711763631481,225.27622639058,223.510918744049
686.868686868687,189.135285642853,257.507663023499,226.634207281268,248.771410123584,241.562334728065,241.562334728065,240.998131404507,235.754903253121,231.226875992104,231.245787043102
727.272727272727,199.260282414844,267.013080564897,236.333235629265,257.806066466736,250.180782138799,250.180782138799,248.32745885158,244.006133220452,237.309804757479,239.173849782186
767.676767676768,209.773732479396,276.778591017645,246.320193035372,267.08234932076,259.023571484357,259.023571484357,255.831840604991,252.465498971437,243.526633699376,247.294811400714
808.080808080808,220.674273066853,286.80464423095,256.59286417319,276.600474136977,268.0906456602,268.0906456602,263.512550334524,261.132643383,249.878932389833,255.607995593699
848.484848484848,231.958697402438,297.091168789839,267.148047664261,286.36017373515,277.381497719719,277.381497719719,271.370686766118,270.006787660195,256.368214538894,264.112329005356
888.888888888889,243.621844360683,307.637544473305,277.981516717176,296.360674083466,286.895149798153,286.895149798153,279.407163100888,279.086713244206,262.995933465244,272.806325983936
929.292929292929,255.656502172851,318.442575980413,289.087985467439,306.600671303062,296.630133248074,296.630133248074,287.622696466511,288.370744939523,269.763477465955,281.68807457605
969.69696969697,268.053329211874,329.504468219072,300.461081842438,317.07831015756,306.584470217057,306.584470217057,296.017797452602,297.856735464317,276.672165093367,290.755223940256
1010.10101010101,280.800794818765,340.820803460021,312.093327745751,327.791164293823,316.755656901694,316.755656901694,304.592759784908,307.542051629421,283.723240348041,300.004973358971
1050.50505050505,293.885142977904,352.388520663112,323.976127306165,338.736218502833,327.14064871292,327.14064871292,313.347650196191,317.423562350252,290.917867797626,309.434063024855
1090.90909090909,307.290381389438,364.203897283679,336.099763868367,349.909853268954,337.735847585439,337.735847585439,322.28229855446,327.497628692196,298.257127632483,319.038766772408
1131.31313131313,320.998298122174,376.262533863364,348.453406314179,361.307831871553,348.537091658625,348.537091658625,331.396288311713,337.76009614334,305.742010669845,328.814886917595
1171.71717171717,334.988507561667,388.559341701872,361.025125195849,372.925290294759,359.539647547436,359.539647547436,340.688947338553,348.206289298741,313.373413319267,338.7577513577
1212.12121212121,349.238526802275,401.088533893457,373.801919037307,384.756730188828,370.738205409432,370.738205409432,350.159339211814,358.831009127597,321.152132523109,348.862213070316
1252.52525252525,363.723882981086,413.843619994333,386.769751017265,396.796015109994,382.126876997936,382.126876997936,359.806255023668,369.628532978803,329.078860686755,359.122652134436
1292.92929292929,378.418251333266,426.817404564536,399.913596091913,409.036370244814,393.699196871575,393.699196871575,369.628205781585,380.592617461252,337.154180614242,369.532980378015
1333.33333333333,393.293622985058,440.001989800043,413.217498447893,421.47038579979,405.448126907015,405.448126907015,379.623415468807,391.716504313156,345.378560465883,380.086648735275
1373.73737373737,408.320500718962,453.388782438241,426.664639001828,434.090024207692,417.36606423485,417.36606423485,389.789814834754,402.992929349697,353.75234875543,390.776657373666
1414.14141414141,423.468120175253,466.968505082446,440.237412485129,446.886631268613,429.444852688337,429.444852688337,400.125035983914,414.414134550638,362.275769405137,401.595568624884
1454.54545454545,438.704693226031,480.731212049303,453.917513476615,459.850951306823,441.675797821573,441.675797821573,410.626407830206,425.971883319559,370.948916877965,412.535522727104
1494.94949494949,453.99766960346,494.666309797165,467.686030575407,472.973146384178,454.049685517901,454.049685517901,421.290952481584,437.657478914397,379.771751406917,423.588256356902
1535.35353535354,469.314012311664,508.762581944427,481.523547747358,486.242819567895,466.556804171474,466.556804171474,432.11538261673,449.461786015419,388.744094342217,434.745123899594
1575.75757575758,484.620481927202,523.008218835038,495.410251734671,499.649042205423,479.186970385464,479.186970385464,443.09609991198,461.375255362158,397.865623637672,445.997121376444
1616.16161616162,499.883924615804,537.390851554796,509.326044294607,513.180385112604,491.929558089927,491.929558089927,454.229194572239,473.387951355734,407.135869498131,457.334912916772
1656.56565656566,515.071558576423,551.897590247506,523.250657933105,526.824953534182,504.773530941666,504.773530941666,465.51044601452,485.48958248786,416.554210210401,468.748859632976
1696.9696969697,530.151253673065,566.515066525477,537.16377372593,540.570425688737,517.707477828051,517.707477828051,476.935324746845,497.669534423474,426.119868180346,480.229050727424
1737.37373737374,545.091799228016,581.229479715366,551.045139775916,554.404094664115,530.719651257576,530.719651257576,488.498995478749,509.916905530746,435.831906199139,491.765336632509
1777.77777777778,559.86315531686,596.026646628826,564.874688841372,568.312913385388,543.798008382552,543.798008382552,500.196321492375,522.220544621002,445.689223961772,503.347363959497
1818.18181818182,574.436683408765,610.892054499054,578.632653688304,582.283542336044,556.930254364606,556.930254364606,512.021870295364,534.569090632314,455.690554860907,514.964612008536
1858.58585858586,588.785352811828,625.810916679966,592.29967876707,596.302399675364,570.103887762106,570.103887762106,523.969920568354,546.951013964834,465.834463079028,526.606430571882
1898.9898989899,602.883920085033,640.7682306654,605.856926891033,610.355713361593,583.306247591073,583.306247591073,536.034470411063,559.354659153772,476.119341001542,538.262078745299
1939.39393939394,616.709079335356,655.74883795228,619.286179698127,624.429574862217,596.524561688005,596.524561688005,548.209246881665,571.768288547835,486.543406973064,549.920764449236
1979.79797979798,630.239582099299,670.737485244739,632.569930802863,638.509994010029,609.745995984883,609.745995984883,560.487716814602,584.180126647164,497.104703418476,561.571684351813
2020.20202020202,643.456326282379,685.718886476527,645.691470692249,652.582954547216,622.957704293824,622.957704293824,572.863098892206,596.578404745775,507.801095349643,573.204063880294
2060.60606060606,656.342414369628,700.677785116899,658.634962579958,666.634469889769,636.146878191673,636.146878191673,585.328376935605,608.951405519318,518.630269277684,584.807197006512
2101.0101010101,668.883181800916,715.599016220986,671.385508604271,680.650638641329,649.300796593369,649.300796593369,597.8763143705,621.287507199675,529.589732549632,596.370485494748
2141.41414141414,681.066197007048,730.467567689453,683.929205931929,694.617699389205,662.40687460738,662.40687460738,610.499469813649,633.575226983677,540.67681312704,607.883477307795
2181.81818181818,692.881235111938,745.268640213919,696.253192507444,708.522084325663,675.452711276541,675.452711276541,623.19021371637,645.803263333671,551.888659822645,619.335903878196
2222.22222222222,704.320227713633,759.987705403949,708.345682361058,722.350471254446,688.426135823286,688.426135823286,635.94074599221,657.960536842801,563.222243009617,630.717715966659
2262.62626262626,715.377191458967,774.610561617996,720.195990554412,736.089833565487,701.31525203898,701.31525203898,648.743114547255,670.036229357257,574.674355816155,642.019117848223
2303.0303030303,726.048138324247,789.123387053767,731.794547997341,749.72748778942,714.108480482587,714.108480482587,661.589234623462,682.019821070998,586.241615816264,653.230599588389
2343.43434343434,736.330970612889,803.512789692617,743.132906509285,763.251138377152,726.794598183553,726.794598183553,674.47090885801,693.901125335189,597.920467225505,664.34296719581
2383.83838383838,746.225363688962,817.765853736597,754.203734622032,776.648919387767,739.36277557708,739.36277557708,687.379847955104,705.670320954112,609.707183608298,675.347370464738
2424.24242424242,755.732639394172,831.870182225066,765.000804725393,789.909432809517,751.802610436141,751.802610436141,700.307691860959,717.317981771261,621.597871101047,686.235328348749
2464.64646464646,764.855632957559,845.813935569106,775.518972242923,803.021783282931,764.104158602969,764.104158602969,713.246031327999,728.83510338287,633.588472152921,696.998751736825
2505.0505050505,773.598556015474,859.58586579541,785.754147590595,815.975609041083,776.257961362683,776.257961362683,726.186429750644,740.213126850836,645.674769783576,707.629963533117
2545.45454545455,781.966858127571,873.17534634589,795.703261717702,828.761108929114,788.255069342263,788.255069342263,739.120445152483,751.443959322152,657.85239235454,718.121715972144
2585.85858585859,789.967088915489,886.572397333772,805.364226056935,841.369065412244,800.087062858835,800.087062858835,752.03965220319,762.51999149698,670.116818848268,728.467205131266
2626.26262626263,797.606762676272,899.767706210676,814.735887720842,853.790863527942,811.746068681159,811.746068681159,764.935664143273,773.434111921838,682.463384646187,738.660082631627
2666.66666666667,804.894227042849,912.752643851009,823.817980776151,866.018505782872,823.224773206977,823.224773206977,777.800154495614,784.179718117493,694.887287794322,748.69446454684
2707.07070707071,811.838536987933,925.519276109291,832.611074407705,878.044623038103,834.516432095714,834.516432095714,790.624878444762,794.750724582559,707.383595742359,758.56493756523
